<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20111121,000000,79.4900000,79.4900000,74.5000000,74.5000000,333
20111122,000000,73.2000000,77.6900000,73.2000000,76.4500000,1105
20111123,000000,76.2300000,77.7700000,76.2300000,77.4800000,97
20111124,000000,76.0100000,76.5000000,75.6100000,75.6100000,501
20111125,000000,75.1100000,78.4800000,75.1000000,78.4800000,334
20111128,000000,81.0300000,82.9900000,81.0300000,82.8100000,202
20111129,000000,82.0200000,83.8800000,81.9300000,82.4100000,608
20111130,000000,83.9100000,87.5000000,83.9100000,87.5000000,405
20111201,000000,88.0100000,89.0400000,86.6500000,88.0100000,1977
20111202,000000,89.0000000,90.4800000,88.5600000,89.5200000,749
20111205,000000,89.0100000,90.4900000,89.0100000,89.7400000,16499
20111206,000000,88.0400000,88.4400000,85.5600000,86.5000000,682
20111207,000000,84.8100000,85.8700000,84.0700000,85.8700000,2183
20111208,000000,86.2500000,87.9000000,85.0100000,85.8300000,202
20111209,000000,82.2100000,83.5000000,82.0200000,82.9000000,193
20111212,000000,82.6900000,83.6900000,78.4600000,80.5900000,11296
20111213,000000,80.0000000,82.8900000,80.0000000,82.6400000,264
20111214,000000,82.0100000,83.4900000,80.0100000,82.1700000,542
20111215,000000,79.2100000,82.4900000,79.2100000,82.0100000,121
20111216,000000,80.3200000,82.4900000,80.3200000,81.3700000,132
20111219,000000,90.0000000,90.0000000,80.6400000,81.5000000,107
20111220,000000,77.4200000,82.8600000,77.4200000,82.2300000,209
20111221,000000,80.5000000,82.2000000,78.6000000,80.4000000,549
20111222,000000,84.2600000,84.2600000,79.5300000,80.1000000,146
20111223,000000,81.8900000,83.5000000,78.6000000,80.1000000,3627
20111226,000000,81.0000000,82.9400000,80.5100000,81.4500000,186
20111227,000000,80.8500000,82.7700000,79.2000000,80.4600000,141
20111228,000000,77.7000000,80.6500000,77.7000000,79.9900000,196
20111229,000000,73.6200000,79.4400000,73.6200000,79.0200000,103
20111230,000000,78.5300000,79.9900000,78.0300000,79.3300000,373
20120103,000000,80.0100000,82.6600000,80.0100000,82.6600000,56
20120104,000000,82.2000000,84.8900000,81.5200000,83.1000000,360
20120105,000000,82.0600000,83.2900000,82.0600000,82.5600000,28
20120106,000000,78.5100000,84.8800000,75.0000000,83.3300000,12187
20120109,000000,83.8400000,83.8400000,83.1200000,83.6700000,44
20120110,000000,85.6100000,87.2900000,85.5100000,86.4100000,378
20120111,000000,85.0000000,85.4900000,83.5600000,84.8000000,1144
20120112,000000,85.1100000,86.9600000,84.3600000,84.9700000,301
20120113,000000,85.6000000,85.6700000,83.5700000,84.4000000,221
20120116,000000,83.0000000,84.4400000,83.0000000,83.8100000,160
20120117,000000,83.0600000,85.0800000,82.4400000,84.4000000,161
